tipo de oper,monto bruto,Moneda,cuenta debito,cta credito,fecha de operacion,referencia,EXTRA COLS
depósito,2500.00,pen,,4651001245879632145203,2026-01-10,Abono nómina,junk1
Deposito,"1,250.50",PEN ,,4651001245879632145210,10/01/2026,reintegro,
transfer,500.00,pen,4651001245879632145202,4651001245879632145201,11-01-2026,pago amigo,
RETIRO,300.00,USD,4651001245879632145204,,12/01/2026 08:45,cajero,
pago,180.00,PEN,4651001245879632145202,,2026-01-13,recibo luz,
transferencia,"750,00",USD,4651001245879632145205,4651001245879632145204,14-01-2026,compra activos,
Deposito,,PEN,,4651001245879632145203,2026-01-15,abono con monto vacio,

retiro,-120.00,PEN,4651001245879632145210,,17/01/2026,monto negativo,
Hola Mundo bancario,10.00,PEN,x,,2026-01-01,basura en el lote,
DEPOSIT,1000.00,PEN,,4651001245879632145203,2026-01-18,Inversión extra,
retiro,999999.00,PEN,4651001245879632145210,,2026-01-19,fondos insuficientes,
depósito,"$2,500.00",USD,,4651001245879632145205,20-01-2026,abono en dólares,
DEPOSIT,1000.00,PEN,,4651001245879632145203,2026-01-18,Inversión extra,
TRANSFER,100.00,PEN,4651001245879632145210,4651001245879632145202,21.01.2026,transferencia sueldo,
depósito,50.00,PENN,,4651001245879632145210,2026-01-22,moneda no ISO,
